Citizenship in Chicago Community Areas,,,,,,,,,,,,,,,,,
,1930,1940,1950,1960,1970,1980,1990,2000,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016,2013-2017,2014-2018,2015-2019,2016-2020
U.S. citizen by birth,"  80,318 ","  84,323 ","  88,379 ","  78,331 ","  72,421 ","  64,987 ","  61,419 ","  59,357 ","  57,987 ","  59,355 ","  60,469 ","  60,691 ","  61,304 ","61,541","61,096","60,525","60,909"
Foreign born,"  33,856 ","  25,687 ","  18,384 ","  16,468 ","  16,041 ","  19,781 ","  21,186 ","  23,328 ","  15,799 ","  14,574 ","  13,586 ","  13,858 ","  13,302 ","12,386","12,593","12,752","11,396"
U.S. citizen by naturalization,,,,,,,"  5,867 ","  6,730 ","  5,295 ","  4,778 ","  4,386 ","  4,528 ","  4,359 ","4,806","5,092","5,325","5,452"
Not a U.S. citizen,,,,,,,"  15,319 ","  16,598 ","  10,504 ","  9,796 ","  9,200 ","  9,330 ","  8,943 ","7,580","7,501","7,427","5,944"
Percent foreign born,29.70%,23.30%,17.20%,17.4%,18.1%,23.3%,25.6%,28.2%,21.4%,19.7%,18.3%,19.0%,17.8%,16.8%,17.1%,17.4%,15.8%
,,,,,,,,,,,,,,,,,
23. Humboldt Park,,,,,,,,,,,,,,,,,
Total,"  80,835 ","  79,329 ","  76,199 ","  71,609 ","  71,326 ","  70,879 ","  67,573 ","  65,836 ","  54,351 ","  52,788 ","  54,515 ","  55,011 ","  56,248 ","56,427","56,162","55,364","54,401"
U.S. citizen by birth,"  55,447 ","  58,770 ","  60,687 ","  56,955 ","  58,348 ","  60,529 ","  58,762 ","  53,431 ","  44,702 ","  43,879 ","  46,130 ","  46,150 ","  46,268 ","46,085","45,532","44,041","44,301"
Foreign born,"  25,388 ","  20,559 ","  15,512 ","  14,654 ","  12,978 ","  10,350 ","  8,811 ","  12,405 ","  9,649 ","  8,909 ","  8,385 ","  8,861 ","  9,980 ","10,342","10,630","11,323","10,100"
U.S. citizen by naturalization,,,,,,,"  2,536 ","  3,152 ","  3,253 ","  3,079 ","  2,962 ","  2,779 ","  2,702 ","2,803","2,882","2,974","3,014"
Not a U.S. citizen,,,,,,,"  6,275 ","  9,253 ","  6,396 ","  5,830 ","  5,423 ","  6,082 ","  7,278 ","7,539","7,748","8,349","7,086"
Percent foreign born,31.40%,25.90%,20.40%,20.5%,18.2%,14.6%,13.0%,18.8%,17.8%,16.9%,15.4%,16.0%,17.7%,18.3%,18.9%,20.5%,18.6%
,,,,,,,,,,,,,,,,,
24. West Town,,,,,,,,,,,,,,,,,
Total,"  187,292 ","  169,924 ","  161,620 ","  139,657 ","  125,120 ","  96,428 ","  87,703 ","  87,465 ","  84,087 ","  83,632 ","  84,319 ","  85,582 ","  84,458 ","83,621","83,290","83,757","80,383"
U.S. citizen by birth,"  114,921 ","  118,547 ","  124,565 ","  104,905 ","  101,211 ","  69,909 ","  62,771 ","  67,528 ","  70,576 ","  70,410 ","  70,299 ","  72,064 ","  71,075 ","70,820","71,959","72,587","69,390"
Foreign born,"  72,371 ","  51,377 ","  37,055 ","  34,752 ","  23,909 ","  26,519 ","  24,932 ","  19,937 ","  13,511 ","  13,222 ","  14,020 ","  13,518 ","  13,383 ","12,801","11,331","11,170","10,993"
U.S. citizen by naturalization,,,,,,,"  8,729 ","  6,815 ","  5,747 ","  5,903 ","  6,025 ","  6,072 ","  6,068 ","6,420","5,734","5,617","5,846"
Not a U.S. citizen,,,,,,,"  16,203 ","  13,122 ","  7,764 ","  7,319 ","  7,995 ","  7,446 ","  7,315 ","6,381","5,597","5,553","5,147"
Percent foreign born,38.60%,30.20%,22.90%,24.9%,19.1%,27.5%,28.4%,22.8%,16.1%,15.8%,16.6%,16.0%,15.8%,15.3%,13.6%,13.3%,13.7%
,,,,,,,,,,,,,,,,,
25. Austin,,,,,,,,,,,,,,,,,
Total,"  131,114 ","  132,107 ","  132,180 ","  125,133 ","  128,084 ","  138,026 ","  114,079 ","  117,527 ","  98,162 ","  97,997 ","  99,711 ","  97,643 ","  97,611 ","95,260","94,762","93,727","95,073"
U.S. citizen by birth,"  105,408 ","  110,851 ","  113,741 ","  107,056 ","  114,228 ","  128,864 ","  110,637 ","  114,017 ","  94,213 ","  93,993 ","  95,491 ","  93,409 ","  92,688 ","90,253","89,530","87,942","88,325"
foreign born,"  25,706 ","  21,256 ","  18,439 ","  18,077 ","  13,856 ","  9,162 ","  3,442 ","  3,510 ","  3,949 ","  4,004 ","  4,220 ","  4,234 ","  4,923 ","5,007","5,232","5,785","6,748"
U.S. citizen by naturalization,,,,,,,"  1,896 ","  1,695 ","  1,545 ","  1,619 ","  1,617 ","  1,520 ","  1,670 ","1,876","1,963","2,245","2,593"
Not a U.S. citizen,,,,,,,"  1,546 ","  1,815 ","  2,404 ","  2,385 ","  2,603 ","  2,714 ","  3,253 ","3,131","3,269","3,540","4,155"
Percent foreign born,19.60%,16.10%,13.90%,14.4%,10.8%,6.6%,3.0%,3.0%,4.0%,4.1%,4.2%,4.0%,5.0%,5.3%,5.5%,6.2%,7.1%
,,,,,,,,,,,,,,,,,
26. West Garfield Park,,,,,,,,,,,,,,,,,
Total,"  50,014 ","  48,447 ","  48,443 ","  45,611 ","  48,459 ","  33,865 ","  24,095 ","  23,019 ","  19,377 ","  18,715 ","  18,885 ","  17,733 ","  17,490 ","17,155","16,943","16,415","16,489"
U.S. citizen by birth,"  37,067 ","  37,690 ","  39,484 ","  39,934 ","  48,207 ","  33,599 ","  24,053 ","  22,673 ","  19,329 ","  18,643 ","  18,700 ","  17,573 ","  17,353 ","17,034","16,797","16,281","16,358"
Foreign born,"  12,947 ","  10,757 ","  8,959 ","  5,677 ",  252 ,  266 ,  42 ,  346 ,  48 ,  72 ,  185 ,  160 ,  137 ,121,146,134,131
U.S. citizen by naturalization,,,,,,,  28 ,  57 ,  30 ,  42 ,  37 ,  48 ,  43 ,45,39,49,35
Not a U.S. citizen,,,,,,,  14 ,  289 ,  18 ,  30 ,  148 ,  112 ,  94 ,76,107,85,96
Percent foreign born,25.90%,22.20%,18.50%,12.4%,0.5%,0.8%,0.2%,1.5%,0.2%,0.4%,1.0%,1.0%,0.8%,0.7%,0.9%,0.8%,0.8%
,,,,,,,,,,,,,,,,,
27. East Garfield Park,,,,,,,,,,,,,,,,,
Total,"  63,353 ","  65,789 ","  70,091 ","  66,871 ","  52,005 ","  31,580 ","  24,030 ","  20,881 ","  21,316 ","  20,705 ","  20,271 ","  20,665 ","  20,234 ","20,004","19,738","18,940","18,075"
U.S. citizen by birth,"  48,219 ","  52,498 ","  60,609 ","  63,291 ","  51,837 ","  31,401 ","  23,941 ","  20,738 ","  20,865 ","  20,381 ","  20,005 ","  20,384 ","  19,898 ","19,570","19,360","18,611","17,703"
Foreign born,"  15,134 ","  13,291 ","  9,482 ","  3,580 ",  168 ,  179 ,  89 ,  143 ,  451 ,  324 ,  266 ,  281 ,  336 ,434,378,329,372
U.S. citizen by naturalization,,,,,,,  59 ,  56 ,  218 ,  175 ,  154 ,  111 ,  117 ,203,168,173,181
Not a U.S. citizen,,,,,,,  30 ,  87 ,  233 ,  149 ,  112 ,  170 ,  219 ,231,210,156,191
Percent foreign born,23.90%,20.20%,13.50%,5.4%,0.3%,0.6%,0.4%,0.7%,2.1%,1.6%,1.3%,1.0%,1.7%,2.2%,1.9%,1.7%,2.1%
,,,,,,,,,,,,,,,,,
28. Near West Side,,,,,,,,,,,,,,,,,
Total,"  152,457 ","  136,518 ","  160,362 ","  126,610 ","  78,830 ","  57,305 ","  46,197 ","  46,419 ","  54,151 ","  55,877 ","  58,899 ","  61,768 ","  62,560 ","62,872","62,733","63,170","62,816"
U.S. citizen by birth,"  114,151 ","  107,574 ","  142,141 ","  117,176 ","  73,527 ","  52,141 ","  41,690 ","  40,592 ","  45,784 ","  46,981 ","  49,516 ","  51,707 ","  51,860 ","51,658","51,269","52,048","51,572"
Foreign born,"  38,306 ","  28,944 ","  18,221 ","  9,434 ","  5,303 ","  5,164 ","  4,507 ","  5,827 ","  8,367 ","  8,896 ","  9,383 ","  10,061 ","  10,700 ","11,214","11,464","11,122","11,244"
U.S. citizen by naturalization,,,,,,,"  1,533 ","  1,973 ","  3,160 ","  3,559 ","  3,642 ","  3,926 ","  3,738 ","4,046","3,899","3,915","4,403"
Not a U.S. citizen,,,,,,,"  2,974 ","  3,854 ","  5,207 ","  5,337 ","  5,741 ","  6,135 ","  6,962 ","7,168","7,565","7,207","6,841"
,25.10%,21.00%,11.40%,7.5%,6.7%,9.0%,9.8%,12.6%,15.5%,15.9%,15.9%,16.0%,17.1%,17.8%,18.3%,17.6%,17.9%
,,,,,,,,,,,,,,,,,
29. North Lawndale,,,,,,,,,,,,,,,,,
Total,"  112,261 ","  102,470 ","  100,489 ","  124,937 ","  94,871 ","  61,534 ","  47,296 ","  41,768 ","  36,074 ","  36,169 ","  35,623 ","  35,276 ","  35,423 ","35,947","33,854","32,073","31,310"
U.S. citizen by birth,"  61,723 ","  64,111 ","  73,938 ","  122,639 ","  94,108 ","  60,279 ","  46,717 ","  40,789 ","  35,169 ","  35,125 ","  34,341 ","  34,064 ","  34,238 ","34,778","32,756","30,947","29,883"
Foreign born,"  50,538 ","  38,359 ","  26,551 ","  2,298 ",  763 ,"  1,255 ",  579 ,  979 ,  905 ,"  1,044 ","  1,282 ","  1,212 ","  1,185 ","1,169","1,098","1,126","1,427"
U.S. citizen by naturalization,,,,,,,  123 ,  303 ,  313 ,  337 ,  353 ,  304 ,  415 ,352,385,432,604
Not a U.S. citizen,,,,,,,  456 ,  676 ,  592 ,  707 ,  929 ,  908 ,  770 ,817,713,694,823
Percent foreign born,45.00%,37.40%,26.40%,1.8%,0.8%,2.0%,1.2%,2.3%,2.5%,2.9%,3.6%,3.0%,3.3%,3.3%,3.2%,3.5%,4.6%
,,,,,,,,,,,,,,,,,
30. South Lawndale,,,,,,,,,,,,,,,,,
Total,"  76,749 ","  70,915 ","  66,977 ","  60,940 ","  62,821 ","  75,204 ","  81,155 ","  91,071 ","  70,557 ","  69,951 ","  72,881 ","  73,826 ","  73,983 ","74,851","74,943","72,157","70,235"
U.S. citizen by birth,"  52,578 ","  53,006 ","  54,233 ","  50,070 ","  48,729 ","  43,461 ","  43,098 ","  47,054 ","  39,626 ","  39,452 ","  42,304 ","  43,717 ","  45,491 ","45,983","46,888","45,027","44,445"
Foreign born,"  24,171 ","  17,909 ","  12,744 ","  10,870 ","  14,092 ","  31,743 ","  38,057 ","  44,017 ","  30,931 ","  30,499 ","  30,577 ","  30,109 ","  28,492 ","28,868","28,055","27,130","25,790"
U.S. citizen by naturalization,,,,,,,"  8,346 ","  9,302 ","  6,663 ","  7,003 ","  7,565 ","  7,617 ","  7,395 ","7,525","7,661","7,880","8,883"
Not a U.S. citizen,,,,,,,"  29,711 ","  34,715 ","  24,268 ","  23,496 ","  23,012 ","  22,492 ","  21,097 ","21,343","20,394","19,250","16,907"
Percent foreign born,31.50%,25.30%,19.00%,17.8%,22.4%,42.2%,46.9%,48.3%,43.8%,43.6%,42.0%,41.0%,38.5%,38.6%,37.4%,37.6%,36.7%
,,,,,,,,,,,,,,,,,
31. Lower West Side,,,,,,,,,,,,,,,,,
Total,"  66,198 ","  57,908 ","  53,991 ","  48,448 ","  44,535 ","  44,951 ","  45,654 ","  44,031 ","  36,577 ","  35,353 ","  34,979 ","  34,410 ","  32,998 ","32,888","32,789","33,203","32,672"
U.S. citizen by birth,"  41,947 ","  41,358 ","  42,512 ","  38,827 ","  33,114 ","  24,845 ","  23,220 ","  22,423 ","  21,100 ","  21,063 ","  21,425 ","  21,340 ","  21,461 ","21,413","21,949","22,687","22,312"
Foreign born,"  24,251 ","  16,550 ","  11,479 ","  9,621 ","  11,421 ","  20,106 ","  22,434 ","  21,608 ","  15,477 ","  14,290 ","  13,554 ","  13,070 ","  11,537 ","11,475","10,840","10,516","10,360"
U.S. citizen by naturalization,,,,,,,"  5,037 ","  5,355 ","  4,240 ","  4,089 ","  4,189 ","  4,122 ","  3,954 ","4,267","4,359","4,084","4,348"
Not a U.S. citizen,,,,,,,"  17,397 ","  16,253 ","  11,237 ","  10,201 ","  9,365 ","  8,948 ","  7,583 ","7,208","6,481","6,432","6,012"
Percent foreign born,36.60%,28.60%,21.30%,19.9%,25.6%,44.7%,49.1%,49.1%,42.3%,40.4%,38.7%,38.0%,35.0%,34.9%,33.1%,31.7%,31.7%
,,,,,,,,,,,,,,,,,
32. Loop,,,,,,,,,,,,,,,,,
Total,"  7,851 ","  6,221 ","  7,018 ","  4,337 ","  4,965 ","  6,420 ","  11,954 ","  16,244 ","  26,363 ","  28,614 ","  30,642 ","  33,442 ","  35,010 ","35,880","37,647","38,655","39,327"
U.S. citizen by birth,"  5,637 ","  5,016 ","  6,289 ","  4,031 ","  4,600 ","  5,685 ","  10,880 ","  13,766 ","  21,180 ","  22,941 ","  24,231 ","  26,332 ","  27,439 ","27,536","27,926","28,363","28,317"
Foreign born,"  2,214 ","  1,205 ",  729 ,  306 ,  365 ,  735 ,"  1,074 ","  2,478 ","  5,183 ","  5,673 ","  6,411 ","  7,110 ","  7,571 ","8,344","9,721","10,292","11,010"
U.S. citizen by naturalization,,,,,,,  406 ,  902 ,"  1,969 ","  2,189 ","  2,448 ","  2,282 ","  2,512 ","2,865","3,068","3,752","3,934"
Not a U.S. citizen,,,,,,,  668 ,"  1,576 ","  3,214 ","  3,484 ","  3,963 ","  4,828 ","  5,059 ","5,479","6,653","6,540","7,076"
Percent foreign born,28.20%,19.40%,10.40%,7.1%,7.4%,11.4%,9.0%,15.3%,19.7%,19.8%,20.9%,21.0%,21.6%,23.3%,25.8%,26.6%,28.0%
,,,,,,,,,,,,,,,,,
33. Near South Side,,,,,,,,,,,,,,,,,
Total,"  10,416 ","  7,306 ","  11,317 ","  10,350 ","  8,712 ","  7,243 ","  6,828 ","  9,653 ","  20,245 ","  21,042 ","  22,021 ","  22,401 ","  23,190 ","23,620","24,343","24,729","26,376"
U.S. citizen by birth,"  8,494 ","  6,359 ","  10,782 ","  10,027 ","  8,489 ","  6,907 ","  6,715 ","  9,091 ","  16,305 ","  17,292 ","  17,658 ","  17,682 ","  18,384 ","18,648","18,895","19,790","20,141"
Foreign born,"  1,922 ",  947 ,  535 ,  323 ,  223 ,  336 ,  113 ,  562 ,"  3,940 ","  3,750 ","  4,363 ","  4,719 ","  4,806 ","4,972","5,448","4,939","6,235"
U.S. citizen by naturalization,,,,,,,  54 ,  342 ,"  1,722 ","  1,735 ","  2,449 ","  2,605 ","  2,938 ","3,167","3,393","2,698","3,270"
Not a U.S. citizen,,,,,,,  59 ,  220 ,"  2,218 ","  2,015 ","  1,914 ","  2,114 ","  1,868 ","1,805","2,055","2,241","2,965"
Percent foreign born,18.50%,13.00%,4.70%,3.1%,2.6%,4.6%,1.7%,5.8%,19.5%,17.8%,19.8%,21.0%,20.7%,21.0%,22.4%,20.0%,23.6%
,,,,,,,,,,,,,,,,,
34. Armour Square,,,,,,,,,,,,,,,,,
Total,"  21,450 ","  18,472 ","  23,294 ","  15,783 ","  13,063 ","  12,475 ","  10,801 ","  12,032 ","  13,710 ","  14,120 ","  13,850 ","  14,007 ","  13,635 ","13,396","13,719","13,538","13,401"
U.S. citizen by birth,"  16,087 ","  14,761 ","  21,101 ","  13,551 ","  9,934 ","  8,188 ","  5,982 ","  5,781 ","  6,443 ","  6,414 ","  5,986 ","  5,576 ","  5,445 ","5,534","5,596","5,750","6,260"
Foreign born,"  5,363 ","  3,711 ","  2,193 ","  2,232 ","  3,129 ","  4,287 ","  4,819 ","  6,251 ","  7,267 ","  7,706 ","  7,864 ","  8,431 ","  8,190 ","7,862","8,123","7,788","7,141"
U.S. citizen by naturalization,,,,,,,"  2,017 ","  2,884 ","  3,539 ","  3,779 ","  3,939 ","  3,876 ","  4,026 ","4,138","4,569","4,300","4,503"
Not a U.S. citizen,,,,,,,"  2,802 ","  3,367 ","  3,728 ","  3,927 ","  3,925 ","  4,555 ","  4,164 ","3,724","3,554","3,488","2,638"
Percent foreign born,25.00%,20.10%,9.40%,14.1%,24.0%,34.4%,44.6%,52.0%,53.0%,54.6%,56.8%,60.0%,60.1%,58.7%,59.2%,57.5%,53.3%
,,,,,,,,,,,,,,,,,
35. Douglas,,,,,,,,,,,,,,,,,
Total,"  50,285 ","  53,124 ","  78,745 ","  52,325 ","  43,731 ","  35,700 ","  30,652 ","  26,470 ","  19,111 ","  19,074 ","  19,430 ","  20,323 ","  20,559 ","20,781","21,268","21,353","21,450"
U.S. citizen by birth,"  48,848 ","  52,496 ","  78,485 ","  51,507 ","  42,531 ","  34,035 ","  29,524 ","  25,007 ","  15,917 ","  15,971 ","  16,324 ","  16,707 ","  17,035 ","17,157","17,150","16,504","16,713"
Foreign born,"  1,437 ",  628 ,  260 ,  818 ,"  1,200 ","  1,665 ","  1,128 ","  1,463 ","  3,194 ","  3,103 ","  3,106 ","  3,616 ","  3,524 ","3,624","4,118","4,849","4,737"
U.S. citizen by naturalization,,,,,,,  271 ,  275 ,  559 ,  518 ,  555 ,  655 ,  589 ,599,703,1009,991
Not a U.S. citizen,,,,,,,  857 ,"  1,188 ","  2,635 ","  2,585 ","  2,551 ","  2,961 ","  2,935 ","3,025","3,415","3,840","3,746"
Percent foreign born,2.90%,1.20%,0.30%,1.6%,2.7%,4.7%,3.7%,5.5%,16.7%,16.3%,16.0%,18.0%,17.1%,17.4%,19.4%,22.7%,22.1%
,,,,,,,,,,,,,,,,,
36. Oakland,,,,,,,,,,,,,,,,,
Total,"  14,962 ","  14,500 ","  24,464 ","  24,378 ","  18,291 ","  16,748 ","  8,197 ","  6,110 ","  6,260 ","  6,247 ","  6,473 ","  6,422 ","  6,474 ","6,645","6,850","7,227","6,973"
U.S. citizen by birth,"  12,881 ","  12,842 ","  23,846 ","  24,280 ","  18,239 ","  16,633 ","  8,128 ","  5,943 ","  5,925 ","  5,761 ","  5,918 ","  5,804 ","  5,870 ","6,024","6,299","6,709","6,376"
Foreign born,"  2,081 ","  1,658 ",  618 ,  98 ,  52 ,  115 ,  69 ,  167 ,  335 ,  486 ,  555 ,  618 ,  604 ,621,551,518,597
U.S. citizen by naturalization,,,,,,,  8 ,  54 ,  115 ,  172 ,  158 ,  235 ,  265 ,323,337,363,429
Not a U.S. citizen,,,,,,,  61 ,  113 ,  220 ,  314 ,  397 ,  383 ,  339 ,298,214,155,168
Percent foreign born,13.90%,11.40%,2.50%,0.4%,0.3%,0.7%,0.8%,2.7%,5.4%,7.8%,8.6%,10.0%,9.3%,9.3%,8.0%,7.2%,8.6%
,,,,,,,,,,,,,,,,,
37. Fuller Park,,,,,,,,,,,,,,,,,
Total,"  14,437 ","  15,094 ","  17,174 ","  12,181 ","  7,354 ","  5,832 ","  4,364 ","  3,420 ","  2,924 ","  2,798 ","  2,543 ","  2,457 ","  2,377 ","2,354","2,320","2,330","2,149"
U.S. citizen by birth,"  10,377 ","  11,733 ","  15,489 ","  12,060 ","  7,344 ","  5,784 ","  4,355 ","  3,341 ","  2,765 ","  2,715 ","  2,451 ","  2,380 ","  2,276 ","2,259","2,200","2,223","2,049"
Foreign born,"  4,060 ","  3,361 ","  1,685 ",  121 ,  10 ,  48 ,  9 ,  79 ,  159 ,  83 ,  92 ,  77 ,  101 ,95,120,107,100
U.S. citizen by naturalization,,,,,,, - ,  7 ,  14 ,  3 ,  8 ,  7 ,  56 ,48,59,47,51
Not a U.S. citizen,,,,,,,  9 ,  72 ,  145 ,  80 ,  84 ,  70 ,  45 ,47,61,60,49
Percent foreign born,28.10%,22.30%,9.80%,1.0%,0.1%,0.8%,0.2%,2.3%,5.4%,3.0%,3.6%,3.0%,4.2%,4.0%,5.2%,4.6%,4.7%
,,,,,,,,,,,,,,,,,
38. Grand Boulevard,,,,,,,,,,,,,,,,,
Total,"  87,005 ","  103,256 ","  114,557 ","  80,036 ","  80,166 ","  53,741 ","  35,897 ","  28,006 ","  23,151 ","  22,616 ","  22,531 ","  22,750 ","  22,634 ","22,905","23,200","22,643","23,669"
U.S. citizen by birth,"  85,811 ","  102,783 ","  114,374 ","  79,806 ","  80,014 ","  53,313 ","  35,775 ","  27,821 ","  22,552 ","  21,997 ","  22,049 ","  22,200 ","  22,117 ","22,387","22,566","22,036","22,952"
Foreign born,"  1,194 ",  473 ,  183 ,  230 ,  152 ,  428 ,  122 ,  185 ,  599 ,  619 ,  482 ,  550 ,  517 ,518,634,607,717
U.S. citizen by naturalization,,,,,,,  100 ,  120 ,  285 ,  334 ,  208 ,  287 ,  301 ,338,400,389,440
Not a U.S. citizen,,,,,,,  22 ,  65 ,  314 ,  285 ,  274 ,  263 ,  216 ,180,234,218,277
Percent foreign born,1.40%,0.50%,0.20%,0.3%,0.2%,0.8%,0.3%,0.7%,2.6%,2.7%,2.1%,2.0%,2.3%,2.3%,2.7%,2.7%,3.0%
,,,,,,,,,,,,,,,,,
39. Kenwood,,,,,,,,,,,,,,,,,
Total,"  26,942 ","  29,611 ","  35,705 ","  41,533 ","  26,890 ","  21,974 ","  18,178 ","  18,363 ","  18,180 ","  18,021 ","  18,217 ","  17,601 ","  17,074 ","17,189","17,440","17,954","17,972"
U.S. citizen by birth,"  21,996 ","  24,748 ","  31,225 ","  40,320 ","  25,913 ","  20,815 ","  17,257 ","  16,773 ","  16,021 ","  15,815 ","  15,919 ","  15,363 ","  15,015 ","15,135","15,480","16,274","16,255"
Foreign born,"  4,946 ","  4,863 ","  4,480 ","  1,213 ",  977 ,"  1,159 ",  921 ,"  1,590 ","  2,159 ","  2,206 ","  2,298 ","  2,238 ","  2,059 ","2,054","1,960","1,680","1,717"
U.S. citizen by naturalization,,,,,,,  389 ,  679 ,  792 ,  800 ,  716 ,  653 ,  692 ,724,682,675,662
Not a U.S. citizen,,,,,,,  532 ,  911 ,"  1,367 ","  1,406 ","  1,582 ","  1,585 ","  1,367 ","1,330","1,278","1,005","1,055"
Percent foreign born,18.40%,16.40%,12.50%,2.9%,3.6%,5.3%,5.1%,8.7%,11.9%,12.2%,12.6%,13.0%,12.1%,11.9%,11.2%,9.4%,9.6%
,,,,,,,,,,,,,,,,,
40. Washington Park,,,,,,,,,,,,,,,,,
Total,"  44,016 ","  52,736 ","  56,856 ","  43,690 ","  46,024 ","  31,935 ","  19,425 ","  14,146 ","  11,146 ","  11,530 ","  11,647 ","  12,081 ","  11,868 ","11,502","11,355","10,969","10,427"
U.S. citizen by birth,"  43,138 ","  52,222 ","  56,655 ","  43,469 ","  45,919 ","  31,655 ","  19,360 ","  13,995 ","  11,033 ","  11,426 ","  11,507 ","  11,937 ","  11,720 ","11,336","11,223","10,767","10,159"
Foreign born,  878 ,  514 ,  201 ,  221 ,  105 ,  280 ,  65 ,  151 ,  113 ,  104 ,  140 ,  144 ,  148 ,166,132,202,268
U.S. citizen by naturalization,,,,,,,  23 ,  81 ,  61 ,  46 ,  53 ,  85 ,  78 ,35,37,42,26
Not a U.S. citizen,,,,,,,  42 ,  70 ,  52 ,  58 ,  87 ,  59 ,  70 ,131,95,160,242
Percent foreign born,2.00%,1.00%,0.40%,0.5%,0.2%,0.9%,0.3%,1.1%,1.0%,0.9%,1.2%,1.0%,1.2%,1.4%,1.2%,1.8%,2.6%
,,,,,,,,,,,,,,,,,
41. Hyde Park,,,,,,,,,,,,,,,,,
Total,"  48,017 ","  50,550 ","  55,206 ","  45,577 ","  33,531 ","  31,198 ","  28,630 ","  29,920 ","  26,541 ","  26,831 ","  26,705 ","  26,893 ","  26,573 ","26,827","27,517","27,482","27,722"
U.S. citizen by birth,"  38,351 ","  40,568 ","  45,382 ","  40,579 ","  29,673 ","  27,390 ","  24,475 ","  25,034 ","  21,999 ","  22,255 ","  21,944 ","  21,832 ","  21,465 ","21,452","21,990","22,002","22,553"
Foreign born,"  9,666 ","  9,982 ","  9,824 ","  4,998 ","  3,858 ","  3,808 ","  4,155 ","  4,886 ","  4,542 ","  4,576 ","  4,761 ","  5,061 ","  5,108 ","5,375","5,527","5,480","5,169"
U.S. citizen by naturalization,,,,,,,"  1,573 ","  1,520 ","  1,593 ","  1,552 ","  1,482 ","  1,723 ","  1,656 ","1,715","1,781","1,824","1,796"
Not a U.S. citizen,,,,,,,"  2,582 ","  3,366 ","  2,949 ","  3,024 ","  3,279 ","  3,338 ","  3,452 ","3,660","3,746","3,656","3,373"
Percent foreign born,20.10%,19.70%,17.80%,11.0%,11.5%,12.2%,14.5%,16.3%,17.1%,17.1%,17.8%,19.0%,19.2%,20.0%,20.1%,19.9%,18.6%
,,,,,,,,,,,,,,,,,
42. Woodlawn,,,,,,,,,,,,,,,,,
Total,"  66,052 ","  71,685 ","  80,699 ","  81,279 ","  53,820 ","  36,323 ","  27,473 ","  27,086 ","  24,445 ","  24,357 ","  25,451 ","  26,446 ","  26,024 ","25,207","25,058","24,844","24,967"
U.S. citizen by birth,"  56,206 ","  62,963 ","  74,946 ","  79,855 ","  53,243 ","  35,477 ","  27,019 ","  26,546 ","  23,310 ","  23,099 ","  24,185 ","  25,055 ","  24,536 ","23,820","23,602","23,182","23,624"
Foreign born,"  9,846 ","  8,722 ","  5,753 ","  1,424 ",  577 ,  846 ,  454 ,  540 ,"  1,135 ","  1,258 ","  1,266 ","  1,391 ","  1,488 ","1,387","1,456","1,662","1,343"
U.S. citizen by naturalization,,,,,,,  150 ,  178 ,  415 ,  464 ,  463 ,  536 ,  541 ,561,591,681,526
Not a U.S. citizen,,,,,,,  304 ,  362 ,  720 ,  794 ,  803 ,  855 ,  947 ,826,865,981,817
Percent foreign born,14.90%,12.20%,7.10%,1.8%,1.1%,2.3%,1.7%,2.0%,4.6%,5.2%,5.0%,5.0%,5.7%,5.5%,5.8%,6.7%,5.4%
,,,,,,,,,,,,,,,,,
43. South Shore,,,,,,,,,,,,,,,,,
Total,"  78,755 ","  79,593 ","  79,336 ","  73,086 ","  80,527 ","  77,743 ","  61,517 ","  61,556 ","  47,526 ","  49,380 ","  48,816 ","  49,155 ","  48,552 ","48,479","49,410","50,265","50,275"
U.S. citizen by birth,"  65,685 ","  68,265 ","  69,174 ","  63,373 ","  75,913 ","  75,879 ","  60,528 ","  59,969 ","  46,069 ","  47,681 ","  46,978 ","  47,505 ","  47,062 ","47,015","47,570","48,238","48,337"
Foreign born,"  13,070 ","  11,328 ","  10,162 ","  9,713 ","  4,614 ","  1,864 ",  989 ,"  1,587 ","  1,457 ","  1,699 ","  1,838 ","  1,650 ","  1,490 ","1,464","1,840","2,027","1,938"
U.S. citizen by naturalization,,,,,,,  454 ,  791 ,  630 ,  650 ,  737 ,  873 ,  762 ,834,934,1052,1033
Not a U.S. citizen,,,,,,,  535 ,  796 ,  827 ,"  1,049 ","  1,101 ",  777 ,  728 ,630,906,975,905
Percent foreign born,16.60%,14.20%,12.80%,13.3%,5.7%,2.4%,1.6%,2.6%,3.1%,3.4%,3.8%,3.0%,3.1%,3.0%,3.7%,4.0%,3.9%
,,,,,,,,,,,,,,,,,
44. Chatham,,,,,,,,,,,,,,,,,
Total,"  36,228 ","  37,788 ","  40,845 ","  41,962 ","  47,327 ","  40,725 ","  36,779 ","  37,340 ","  33,244 ","  31,898 ","  31,493 ","  31,359 ","  30,946 ","31,071","30,653","30,967","31,363"
U.S. citizen by birth,"  29,219 ","  31,941 ","  35,624 ","  39,594 ","  46,943 ","  40,004 ","  36,382 ","  36,859 ","  32,991 ","  31,668 ","  31,225 ","  30,899 ","  30,334 ","30,373","29,957","30,109","30,955"
Foreign born,"  7,009 ","  5,847 ","  5,221 ","  2,368 ",  384 ,  721 ,  397 ,  481 ,  253 ,  230 ,  268 ,  460 ,  612 ,698,696,858,408
