"Household Income in Chicago Community Areas
Note: All median income data are adjusted to year 2020 dollars.
",,,,,,,,,,,,,
,1970,1980,1990,2000,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016,2013-2017,2014-2018,2015-2019,2016-2020
Median household income,"$78,707","$82,387","$77,011","$71,913","$62,094","$61,340","$57,222","$54,452","$51,751","$52,282","$50,327","$50,123","$57,095"
,,,,,,,,,,,,,
49. Roseland,,,,,,,,,,,,,
Total,"18,994","18,058","16,929","16,738","15,524","15,057","14,649","14,332","14,492","14,330","14,164","14,003","13,737"
"Less than $10,000",,,"2,988","2,106","1,694","1,763","1,977","1,942","2,030","1,733","1,657","1,567","1,547"
"$10,000 to $14,999",,,"1,432","1,054","1,124","1,143","1,114","1,062","1,151","1,141","1,084","1,057",915
"$15,000 to $19,999",,,"1,516",966,"1,100",939,930,"1,048","1,104","1,210","1,208","1,097",943
"$20,000 to $24,999",,,1459,1159,1336,1258,973,1057,1047,877,871,906,809
"$25,000 to $29,999",,,1473,1128,1091,904,901,826,798,732,751,720,668
"$30,000 to $34,999",,,1253,1264,884,1112,899,840,791,928,856,755,804
"$35,000 to $39,999",,,1236,1024,898,829,854,872,786,738,761,792,675
"$40,000 to $44,999",,,977,1023,734,725,645,625,648,720,688,684,628
"$45,000 to $49,999",,,860,1028,869,735,736,727,680,733,741,577,555
"$50,000 to $59,999",,,1391,1319,1415,1393,1355,1015,961,881,940,1152,1254
"$60,000 to $74,999",,,"1,299","1,766","1,384","1,486","1,443","1,325","1,273","1,341","1,276","1,212","1,183"
"$75,000 to $99,999",,,749,"1,629","1,416","1,290","1,306","1,238","1,399","1,416","1,391","1,442","1,619"
"$100,000 to $124,999",,,145,776,746,654,781,878,940,1004,981,989,1087
"$125,000 to $149,999",,,68,216,436,474,370,495,423,358,404,480,421
"$150,000 to $199,999",,,83,180,235,240,287,258,285,305,361,356,380
"$200,000 or more",,,,100,162,112,78,124,176,213,194,217,249
Median household income,"$62,024","$61,614","$57,605","$59,356","$42,587","$41,423","$41,456","$40,456","$39,776","$40,538","$40,395","$41,286","$43,957"
,,,,,,,,,,,,,
50. Pullman,,,,,,,,,,,,,
Total,"3,532","3,384","3,325","3,270","2,984","2,915","2,927","2,894","2,967","3,083","3,067","3,147","3,317"
"Less than $10,000",,,648,492,352,359,416,372,424,398,416,374,382
"$10,000 to $14,999",,,247,292,333,310,386,383,338,287,183,126,165
"$15,000 to $19,999",,,330,266,128,132,128,182,164,200,212,217,135
"$20,000 to $24,999",,,418,263,156,175,129,148,160,129,174,216,137
"$25,000 to $29,999",,,268,264,159,199,196,195,197,187,156,160,128
"$30,000 to $34,999",,,249,264,189,154,150,139,139,169,165,168,196
"$35,000 to $39,999",,,227,132,78,101,89,81,142,138,108,86,104
"$40,000 to $44,999",,,162,174,165,168,138,150,251,253,240,320,266
"$45,000 to $49,999",,,192,175,168,151,138,145,183,220,156,187,238
"$50,000 to $59,999",,,214,254,291,308,256,224,135,201,190,164,208
"$60,000 to $74,999",,,221,351,286,239,280,275,235,266,281,292,337
"$75,000 to $99,999",,,125,192,475,440,350,337,301,325,378,446,551
"$100,000 to $124,999",,,12,113,142,110,209,191,192,183,185,190,238
"$125,000 to $149,999",,,12,31,47,44,43,34,53,46,128,99,140
"$150,000 to $199,999",,,-,3,3,6,12,31,40,66,89,98,83
"$200,000 or more",,,,4,12,19,7,7,13,15,6,4,9
Median household income,"$58,418","$62,949","$51,184","$48,069","$48,200","$45,223","$41,694","$39,950","$39,889","$42,654","$43,576","$43,978","$47,908"
,,,,,,,,,,,,,
51. South Deering,,,,,,,,,,,,,
Total,"5,545","5,669","5,487","5,608","5,332","5,050","5,002","5,068","5,012","5,009","5,206","5,306","5,385"
"Less than $10,000",,,904,918,911,837,825,875,825,819,809,783,695
"$10,000 to $14,999",,,345,302,455,366,387,351,462,379,378,337,413
"$15,000 to $19,999",,,587,441,383,466,382,470,403,399,470,505,516
"$20,000 to $24,999",,,440,332,458,417,368,288,315,398,368,397,737
"$25,000 to $29,999",,,640,389,356,364,357,267,249,313,379,375,327
"$30,000 to $34,999",,,423,438,226,253,251,279,309,240,179,190,176
"$35,000 to $39,999",,,437,320,200,175,257,357,356,234,229,251,199
"$40,000 to $44,999",,,498,320,353,356,332,317,274,283,342,357,247
"$45,000 to $49,999",,,223,263,153,142,152,214,176,215,264,240,159
"$50,000 to $59,999",,,358,419,358,388,319,315,408,377,376,398,399
"$60,000 to $74,999",,,374,605,625,522,501,515,520,459,433,450,477
"$75,000 to $99,999",,,192,406,500,455,439,371,393,460,426,451,465
"$100,000 to $124,999",,,45,262,192,137,212,248,194,253,262,214,214
"$125,000 to $149,999",,,8,56,103,103,127,89,56,69,114,172,177
"$150,000 to $199,999",,,13,60,42,50,70,64,47,97,144,113,112
"$200,000 or more",,,,77,17,19,23,48,25,14,33,73,72
Median household income,"$65,660","$65,439","$57,467","$54,003","$36,185","$34,802","$36,583","$38,234","$36,597","$35,734","$36,446","$36,713","$30,115"
,,,,,,,,,,,,,
52. East Side,,,,,,,,,,,,,
Total,"7,757","7,436","7,071","7,320","6,900","6,777","6,719","6,810","6,836","6,843","6,906","6,976","6,981"
"Less than $10,000",,,1082,696,537,540,441,516,507,452,464,478,409
"$10,000 to $14,999",,,691,534,413,327,335,336,345,284,336,348,188
"$15,000 to $19,999",,,697,400,613,548,476,443,580,546,385,295,260
"$20,000 to $24,999",,,710,536,346,412,496,411,356,451,352,390,401
"$25,000 to $29,999",,,605,481,454,449,446,563,493,583,550,520,359
"$30,000 to $34,999",,,694,524,561,483,443,409,500,370,400,446,413
"$35,000 to $39,999",,,596,514,372,389,436,453,428,440,480,401,343
"$40,000 to $44,999",,,455,504,301,373,383,399,359,460,450,456,716
"$45,000 to $49,999",,,363,558,304,318,276,302,252,185,256,249,270
"$50,000 to $59,999",,,549,678,458,488,471,503,574,562,566,586,654
"$60,000 to $74,999",,,361,829,868,815,776,656,575,586,582,568,534
"$75,000 to $99,999",,,201,651,664,697,749,904,948,934,1018,1062,1080
"$100,000 to $124,999",,,49,239,445,471,486,435,447,497,563,573,624
"$125,000 to $149,999",,,10,60,285,156,204,227,223,224,229,308,408
"$150,000 to $199,999",,,8,49,198,245,241,152,125,148,147,160,152
"$200,000 or more",,,,67,81,66,60,101,124,121,128,136,170
Median household income,"$67,456","$71,932","$55,607","$61,664","$47,782","$47,833","$47,650","$47,242","$46,082","$45,264","$47,007","$48,659","$51,722"
,,,,,,,,,,,,,
53. West Pullman,,,,,,,,,,,,,
Total,"12,184","11,732","10,718","10,688","9,375","9,278","9,154","9,054","9,184","9,133","8,950","9,129","9,063"
"Less than $10,000",,,"1,793","1,628","1,166","1,290","1,392","1,345","1,271","1,168","1,122","1,080","1,117"
"$10,000 to $14,999",,,585,588,723,508,606,613,622,540,519,438,346
"$15,000 to $19,999",,,1033,444,709,851,894,912,902,849,696,559,354
"$20,000 to $24,999",,,746,718,633,770,646,685,789,767,636,700,567
"$25,000 to $29,999",,,882,648,507,514,479,475,424,415,421,561,647
"$30,000 to $34,999",,,958,600,542,636,676,639,548,526,503,536,456
"$35,000 to $39,999",,,906,640,426,484,399,372,445,481,480,495,501
"$40,000 to $44,999",,,635,726,461,467,415,393,467,525,458,433,398
"$45,000 to $49,999",,,604,643,308,344,320,304,359,279,295,313,527
"$50,000 to $59,999",,,1164,888,790,692,731,720,646,678,704,621,519
"$60,000 to $74,999",,,787,1023,1074,848,838,797,805,848,837,842,892
"$75,000 to $99,999",,,477,1172,993,982,935,918,860,907,916,927,1043
"$100,000 to $124,999",,,72,559,532,465,383,394,506,457,552,636,510
"$125,000 to $149,999",,,58,155,192,180,196,202,225,309,352,480,722
"$150,000 to $199,999",,,18,130,197,138,130,173,225,290,278,314,270
"$200,000 or more",,,,126,122,109,114,112,90,94,181,194,194
Median household income,"$65,990","$66,758","$63,844","$62,835","$44,775","$39,573","$37,168","$36,826","$38,097","$39,933","$42,197","$42,716","$46,271"
,,,,,,,,,,,,,
54. Riverdale,,,,,,,,,,,,,
Total,"3,377","3,393","3,133","2,876","2,322","2,293","2,316","2,294","2,409","2,428","2,560","2,641","2,757"
"Less than $10,000",,,"1,993","1,175",743,720,733,802,913,"1,018","1,121","1,140","1,056"
"$10,000 to $14,999",,,208,372,497,532,484,356,340,293,226,166,156
"$15,000 to $19,999",,,199,248,141,186,173,225,228,209,151,183,178
"$20,000 to $24,999",,,158,204,189,205,155,160,157,156,168,182,190
"$25,000 to $29,999",,,102,169,87,130,214,268,261,208,251,213,238
"$30,000 to $34,999",,,80,129,116,87,109,126,61,94,119,214,193
"$35,000 to $39,999",,,110,81,143,82,79,67,95,45,29,40,45
"$40,000 to $44,999",,,61,120,55,43,63,38,90,100,174,184,244
"$45,000 to $49,999",,,93,86,60,35,28,35,41,61,50,37,73
"$50,000 to $59,999",,,85,127,121,105,102,61,58,68,71,44,73
"$60,000 to $74,999",,,33,80,63,70,69,49,56,50,42,45,71
"$75,000 to $99,999",,,11,40,107,98,92,91,61,46,43,52,60
"$100,000 to $124,999",,,-,22,-,-,15,16,40,63,95,97,124
"$125,000 to $149,999",,,-,13,-,-,-,-,-,-,0,0,0
"$150,000 to $199,999",,,-,5,-,-,-,-,-,-,0,24,31
"$200,000 or more",,,,5,-,-,-,-,8,17,20,20,25
Median household income,"$35,278","$30,514","$12,892","$20,457","$15,662","$15,844","$15,922","$16,273","$15,147","$15,094","$15,001","$15,538","$19,609"
,,,,,,,,,,,,,
55. Hegewisch,,,,,,,,,,,,,
Total,"3,314","4,157","3,860","3,809","3,694","3,601","3,549","3,539","3,575","3,499","3,458","3,530","3,507"
"Less than $10,000",,,547,257,346,374,355,355,377,204,274,375,318
"$10,000 to $14,999",,,420,247,236,244,201,255,234,331,249,199,125
"$15,000 to $19,999",,,335,302,157,162,231,179,243,217,399,377,505
"$20,000 to $24,999",,,272,247,246,169,158,159,74,68,62,122,123
"$25,000 to $29,999",,,270,202,252,293,243,272,226,196,130,106,166
"$30,000 to $34,999",,,312,271,257,152,142,150,127,177,178,108,55
"$35,000 to $39,999",,,306,230,197,195,183,87,87,145,146,95,51
"$40,000 to $44,999",,,348,197,151,145,175,184,155,151,169,164,154
"$45,000 to $49,999",,,195,209,169,107,88,122,64,120,93,86,68
"$50,000 to $59,999",,,241,376,194,251,253,221,239,255,183,185,240
"$60,000 to $74,999",,,294,488,325,360,358,289,323,391,345,406,489
"$75,000 to $99,999",,,246,416,518,505,478,486,557,424,365,503,388
"$100,000 to $124,999",,,52,237,260,276,296,453,478,434,467,415,208
"$125,000 to $149,999",,,22,52,89,111,96,37,60,118,149,151,313
"$150,000 to $199,999",,,-,60,212,214,260,259,284,179,195,201,161
"$200,000 or more",,,,18,85,43,32,31,47,89,54,37,143
Median household income,"$66,963","$72,627","$63,046","$67,782","$50,828","$53,293","$54,507","$54,820","$62,665","$57,915","$52,927","$57,689","$57,577"
,,,,,,,,,,,,,
56. Garfield Ridge,,,,,,,,,,,,,
Total,"12,212","12,624","12,367","12,915","11,952","11,874","11,942","12,038","12,033","12,179","12,253","12,301","12,340"
"Less than $10,000",,,1734,1155,502,496,491,458,391,404,390,393,504
"$10,000 to $14,999",,,1065,834,577,555,545,567,592,459,420,433,367
"$15,000 to $19,999",,,892,923,692,614,597,571,500,470,534,424,393
"$20,000 to $24,999",,,978,742,443,449,552,552,598,523,563,537,519
"$25,000 to $29,999",,,922,758,581,683,749,681,589,497,422,402,447
"$30,000 to $34,999",,,974,568,693,640,635,691,600,634,596,525,447
"$35,000 to $39,999",,,1026,736,334,347,424,494,462,414,367,384,436
"$40,000 to $44,999",,,885,683,534,460,484,547,563,597,528,455,311
"$45,000 to $49,999",,,783,612,521,375,297,452,492,415,514,499,319
"$50,000 to $59,999",,,998,1263,1046,1038,1025,939,954,936,818,907,909
"$60,000 to $74,999",,,"1,262","1,304","1,274","1,438","1,267","1,198","1,323","1,359","1,289","1,195","1,166"
"$75,000 to $99,999",,,570,"1,680","1,863","1,874","1,565","1,545","1,408","1,517","1,596","1,786","1,758"
"$100,000 to $124,999",,,182,994,"1,106","1,093","1,227","1,316","1,334","1,448","1,366","1,319","1,504"
"$125,000 to $149,999",,,58,408,745,752,865,820,855,787,779,911,972
"$150,000 to $199,999",,,38,173,810,779,849,812,921,"1,158","1,342","1,493","1,524"
"$200,000 or more",,,,82,231,281,370,395,451,561,729,638,764
Median household income,"$74,860","$73,777","$66,176","$70,531","$68,132","$69,256","$67,352","$66,195","$67,434","$70,777","$72,825","$75,994","$78,910"
,,,,,,,,,,,,,
57. Archer Heights,,,,,,,,,,,,,
Total,"3,759","3,689","3,596","4,022","3,740","3,807","3,924","3,845","3,912","3,900","3,936","3,919","4,132"
"Less than $10,000",,,399,270,198,171,210,230,257,197,149,86,78
"$10,000 to $14,999",,,302,266,125,133,140,148,154,156,154,134,211
"$15,000 to $19,999",,,374,261,154,174,201,158,213,188,185,225,181
"$20,000 to $24,999",,,261,323,279,348,321,355,323,340,394,395,535
"$25,000 to $29,999",,,317,304,390,263,281,266,198,253,254,126,111
"$30,000 to $34,999",,,400,319,211,268,316,304,315,279,288,315,314
"$35,000 to $39,999",,,218,298,368,352,390,283,256,256,289,234,213
"$40,000 to $44,999",,,285,223,275,260,234,263,243,218,311,303,291
"$45,000 to $49,999",,,211,200,146,138,167,125,139,194,170,122,174
"$50,000 to $59,999",,,326,411,299,367,372,434,406,381,311,436,254
"$60,000 to $74,999",,,249,427,516,418,397,421,382,389,427,323,408
"$75,000 to $99,999",,,191,358,358,363,348,318,384,385,339,361,323
"$100,000 to $124,999",,,36,220,133,218,247,271,332,339,272,367,475
"$125,000 to $149,999",,,17,61,146,168,173,155,162,182,246,269,234
"$150,000 to $199,999",,,10,48,115,140,111,93,118,97,95,161,283
"$200,000 or more",,,,33,27,26,16,21,30,46,52,62,47
Median household income,"$68,642","$65,442","$63,850","$61,209","$47,829","$48,418","$45,931","$47,185","$48,404","$48,886","$45,303","$51,069","$48,704"
,,,,,,,,,,,,,
58. Brighton Park,,,,,,,,,,,,,
Total,"12,451","12,214","11,592","12,461","11,572","11,720","11,984","12,030","12,185","12,314","12,492","12,581","12,320"
"Less than $10,000",,,1786,1134,837,872,919,894,837,815,779,703,700
"$10,000 to $14,999",,,1090,1023,754,730,814,744,803,824,620,411,390
"$15,000 to $19,999",,,1363,982,806,844,875,915,912,876,838,937,755
"$20,000 to $24,999",,,1368,1093,1050,1010,970,987,903,870,1034,1293,1075
"$25,000 to $29,999",,,1053,795,1093,1237,1383,1302,1103,1049,824,845,757
"$30,000 to $34,999",,,1032,963,804,886,901,981,830,804,994,895,855
"$35,000 to $39,999",,,884,872,852,926,862,891,959,823,973,923,730
"$40,000 to $44,999",,,693,760,766,877,922,939,890,935,782,859,792
"$45,000 to $49,999",,,514,811,569,683,673,613,547,737,598,612,678
"$50,000 to $59,999",,,774,1249,996,889,889,950,1091,944,1002,1050,952
"$60,000 to $74,999",,,579,"1,186","1,291","1,033","1,049","1,015","1,043","1,154","1,351","1,108","1,250"
"$75,000 to $99,999",,,364,890,880,850,888,937,"1,062","1,154","1,242","1,330","1,450"
"$100,000 to $124,999",,,44,440,413,472,444,440,535,552,631,704,908
"$125,000 to $149,999",,,35,137,271,203,217,192,284,306,287,232,389
"$150,000 to $199,999",,,13,70,133,92,89,94,191,283,327,380,367
"$200,000 or more",,,,56,57,116,89,136,195,188,210,299,272
Median household income,"$56,946","$52,578","$51,957","$56,263","$42,140","$40,366","$38,954","$39,230","$41,508","$42,518","$42,290","$42,092","$45,712"
,,,,,,,,,,,,,
59. McKinley Park,,,,,,,,,,,,,
Total,"5,116","4,810","4,626","5,094","5,185","5,142","5,135","5,166","5,158","5,140","5,243","5,175","5,366"
"Less than $10,000",,,701,461,439,484,521,486,497,477,374,343,296
"$10,000 to $14,999",,,397,373,264,326,267,328,251,264,309,248,182
"$15,000 to $19,999",,,503,315,414,347,396,342,305,357,369,365,217
"$20,000 to $24,999",,,526,425,429,384,309,279,331,291,245,232,207
"$25,000 to $29,999",,,446,507,287,279,298,259,345,249,312,232,201
"$30,000 to $34,999",,,449,391,331,401,361,407,397,367,322,331,283
"$35,000 to $39,999",,,394,334,333,271,334,322,295,309,269,191,180
"$40,000 to $44,999",,,275,351,316,244,164,209,226,261,357,396,404
"$45,000 to $49,999",,,212,292,220,264,334,383,353,276,290,269,273
"$50,000 to $59,999",,,304,471,500,533,453,493,494,522,467,435,384
"$60,000 to $74,999",,,237,485,558,559,588,551,486,386,421,509,463
"$75,000 to $99,999",,,145,384,586,486,543,497,452,506,528,603,694
"$100,000 to $124,999",,,30,156,221,220,210,251,316,381,427,436,544
"$125,000 to $149,999",,,7,81,161,162,178,161,159,232,246,225,476
"$150,000 to $199,999",,,-,28,106,160,137,150,175,193,202,292,465
"$200,000 or more",,,,40,20,22,42,48,76,69,105,68,97
Median household income,"$57,893","$53,571","$53,605","$55,899","$46,608","$46,070","$46,276","$47,712","$46,740","$47,185","$47,388","$50,295","$61,512"
,,,,,,,,,,,,,
60. Bridgeport,,,,,,,,,,,,,
Total,"11,543","11,377","10,791","12,282","12,140","12,056","12,149","12,536","12,557","12,751","12,878","12,994","12,906"
"Less than $10,000",,,2122,1611,1019,1117,1161,1121,1167,1256,1152,935,976
"$10,000 to $14,999",,,1026,922,876,838,878,904,780,675,621,600,506
"$15,000 to $19,999",,,1231,874,906,917,794,829,773,748,833,862,787
"$20,000 to $24,999",,,1003,853,878,831,790,878,892,770,664,595,479
"$25,000 to $29,999",,,1011,827,679,630,746,735,755,694,646,616,520
"$30,000 to $34,999",,,930,968,677,785,877,874,949,948,818,756,668
"$35,000 to $39,999",,,721,717,632,661,641,562,564,563,637,589,480
"$40,000 to $44,999",,,569,519,456,482,514,593,752,652,596,549,554
"$45,000 to $49,999",,,541,605,574,585,549,443,442,493,407,475,346
"$50,000 to $59,999",,,650,1036,950,973,897,869,865,935,1069,1054,1309
"$60,000 to $74,999",,,563,"1,101","1,274","1,083","1,133","1,223","1,238","1,152","1,183","1,206","1,095"
"$75,000 to $99,999",,,261,"1,208","1,433","1,407","1,435","1,384","1,276","1,369","1,413","1,466","1,719"
"$100,000 to $124,999",,,91,530,692,672,636,828,779,"1,001",987,"1,102","1,307"
"$125,000 to $149,999",,,51,249,341,410,421,476,441,392,496,631,600
"$150,000 to $199,999",,,21,127,422,383,386,481,545,666,777,792,726
"$200,000 or more",,,,135,331,282,291,336,339,437,579,766,834
Median household income,"$52,961","$48,629","$50,466","$55,161","$49,964","$47,131","$45,550","$46,855","$45,788","$47,981","$52,014","$55,266","$58,458"
,,,,,,,,,,,,,
61. New City,,,,,,,,,,,,,
Total,"19,286","17,100","14,272","13,977","11,621","11,394","11,533","11,736","11,978","12,139","12,493","12,795","13,294"
"Less than $10,000",,,"4,132","3,093","1,381","1,315","1,422","1,457","1,350","1,315","1,230","1,183","1,398"
"$10,000 to $14,999",,,1491,1246,897,814,836,823,911,851,880,829,1273
"$15,000 to $19,999",,,"1,618","1,322",898,"1,085","1,183","1,306","1,252","1,147","1,056","1,159","1,118"
"$20,000 to $24,999",,,"1,366","1,177","1,016","1,019","1,148","1,067","1,291","1,305","1,442","1,435","1,207"
"$25,000 to $29,999",,,"1,080","1,007",982,"1,009","1,040","1,124","1,071","1,003","1,188","1,116","1,014"
"$30,000 to $34,999",,,1003,813,1019,958,843,981,854,770,686,679,582
"$35,000 to $39,999",,,820,779,714,738,775,682,764,879,720,730,624
"$40,000 to $44,999",,,699,679,506,526,604,682,667,739,814,773,966
"$45,000 to $49,999",,,615,592,587,517,357,319,379,503,562,552,531
"$50,000 to $59,999",,,632,908,835,832,842,779,836,831,907,882,894
"$60,000 to $74,999",,,525,"1,021",990,904,827,807,943,"1,103","1,079","1,128",963
"$75,000 to $99,999",,,229,687,992,850,879,922,889,861,1037,1089,1267
"$100,000 to $124,999",,,36,370,402,411,371,379,350,350,400,470,569
"$125,000 to $149,999",,,17,92,147,156,130,148,220,215,219,249,278
"$150,000 to $199,999",,,9,55,192,199,232,199,138,199,174,308,345
"$200,000 or more",,,,136,63,61,44,61,63,68,99,213,265
Median household income,"$52,369","$42,584","$39,562","$39,812","$37,082","$35,715","$33,545","$33,161","$32,949","$34,411","$34,117","$35,459","$35,396"
,,,,,,,,,,,,,
62. West Elsdon,,,,,,,,,,,,,
Total,"4,560","4,833","4,889","5,095","5,027","5,076","5,081","5,082","5,120","5,137","5,191","5,177","5,401"
"Less than $10,000",,,536,344,285,255,283,298,265,176,225,177,181
"$10,000 to $14,999",,,395,348,163,204,224,280,199,161,83,82,161
"$15,000 to $19,999",,,464,250,285,265,222,181,206,201,218,211,171
"$20,000 to $24,999",,,470,399,295,357,378,422,316,316,334,349,723
"$25,000 to $29,999",,,476,228,296,223,187,196,286,303,379,374,444
"$30,000 to $34,999",,,477,301,477,472,430,292,230,235,273,175,220
"$35,000 to $39,999",,,381,341,300,366,481,505,466,389,284,187,122
"$40,000 to $44,999",,,442,322,324,324,343,383,272,253,293,250,236
"$45,000 to $49,999",,,218,214,284,344,335,261,282,292,241,260,260
"$50,000 to $59,999",,,388,599,484,390,380,481,472,497,491,483,436
"$60,000 to $74,999",,,347,712,472,488,516,511,639,674,655,707,596
"$75,000 to $99,999",,,215,653,780,706,602,565,605,586,549,648,613
"$100,000 to $124,999",,,60,234,413,473,463,372,408,427,487,577,402
"$125,000 to $149,999",,,-,102,93,158,167,243,359,427,375,347,318
"$150,000 to $199,999",,,20,39,47,23,45,62,63,129,205,248,309
"$200,000 or more",,,,9,29,28,25,30,52,71,99,102,209
Median household income,"$71,554","$67,618","$62,271","$70,336","$52,301","$51,004","$49,010","$48,832","$54,592","$57,189","$56,578","$61,516","$53,771"
,,,,,,,,,,,,,
63. Gage Park,,,,,,,,,,,,,
Total,"9,418","9,340","8,893","9,709","9,405","9,393","9,451","9,742","9,720","9,672","9,800","9,828","9,775"
"Less than $10,000",,,1311,1117,689,713,717,693,606,522,493,428,513
"$10,000 to $14,999",,,722,684,519,503,494,577,527,481,464,463,389
"$15,000 to $19,999",,,803,691,665,766,848,796,772,643,707,589,823
"$20,000 to $24,999",,,928,727,804,595,713,799,793,881,1073,1088,1039
"$25,000 to $29,999",,,720,733,886,962,802,788,796,653,620,617,518
"$30,000 to $34,999",,,849,676,766,852,758,748,672,791,731,760,865
"$35,000 to $39,999",,,660,702,573,658,669,656,667,763,699,719,492
"$40,000 to $44,999",,,640,548,487,469,532,544,692,448,478,549,547
"$45,000 to $49,999",,,555,648,518,647,594,680,624,632,549,426,499
"$50,000 to $59,999",,,847,946,842,724,775,824,905,833,816,876,909
"$60,000 to $74,999",,,444,829,1063,974,961,1020,931,981,1103,1055,749
"$75,000 to $99,999",,,282,879,827,888,929,933,983,1060,969,900,852
"$100,000 to $124,999",,,66,298,461,383,359,347,358,427,473,702,662
"$125,000 to $149,999",,,33,102,159,137,191,207,248,361,331,218,402
"$150,000 to $199,999",,,33,77,114,87,89,98,120,153,249,367,473
"$200,000 or more",,,,52,32,35,20,32,26,43,45,71,43
Median household income,"$62,623","$60,238","$59,958","$56,601","$42,921","$41,239","$41,254","$41,938","$43,278","$43,142","$42,307","$42,724","$42,129"
,,,,,,,,,,,,,
64. Clearing,,,,,,,,,,,,,
Total,"7,254","8,067","8,208","8,658","8,389","8,362","8,440","8,530","8,654","8,760","8,880","8,837","8,654"
"Less than $10,000",,,735,576,361,363,340,338,374,424,406,481,495
"$10,000 to $14,999",,,550,559,335,280,309,363,323,305,295,247,217
"$15,000 to $19,999",,,620,550,614,622,589,504,476,370,401,277,474
"$20,000 to $24,999",,,782,467,476,481,528,503,425,326,323,361,248
"$25,000 to $29,999",,,865,539,435,454,423,438,407,451,387,361,381
"$30,000 to $34,999",,,716,562,297,354,374,357,297,364,424,423,502
"$35,000 to $39,999",,,644,410,260,264,277,440,420,463,443,413,315
"$40,000 to $44,999",,,597,613,377,291,263,251,327,432,526,581,699
"$45,000 to $49,999",,,611,452,353,362,343,280,339,351,351,361,345
"$50,000 to $59,999",,,822,964,1042,918,754,743,711,706,767,849,797
"$60,000 to $74,999",,,727,"1,132",812,848,"1,054","1,154","1,176","1,184","1,151","1,100","1,021"
"$75,000 to $99,999",,,382,984,"1,338","1,303","1,334","1,437","1,415","1,403","1,384","1,276",885
"$100,000 to $124,999",,,93,525,842,918,914,888,988,1001,924,943,842
"$125,000 to $149,999",,,43,214,419,485,436,389,429,373,356,455,653
"$150,000 to $199,999",,,21,77,295,327,348,324,423,408,512,472,444
"$200,000 or more",,,,34,133,92,154,121,124,199,230,237,336
Median household income,"$73,326","$73,132","$67,966","$70,680","$63,176","$63,687","$65,772","$65,981","$67,167","$65,065","$63,028","$61,543","$57,885"
,,,,,,,,,,,,,
65. West Lawn,,,,,,,,,,,,,
Total,"5,968","8,989","8,826","8,955","9,111","8,931","9,050","9,074","8,934","8,988","9,228","9,272","9,176"
"Less than $10,000",,,904,619,481,458,487,437,392,414,343,350,404
"$10,000 to $14,999",,,775,501,477,431,335,356,344,310,268,254,218
"$15,000 to $19,999",,,709,353,367,433,378,311,336,364,371,369,286
"$20,000 to $24,999",,,712,532,697,487,521,526,523,641,758,804,987
"$25,000 to $29,999",,,627,588,492,588,570,479,442,328,509,545,602
"$30,000 to $34,999",,,703,581,739,615,600,615,479,562,522,466,505
"$35,000 to $39,999",,,758,598,350,479,629,650,720,695,665,525,366
"$40,000 to $44,999",,,782,503,766,785,587,621,566,586,502,451,602
"$45,000 to $49,999",,,500,472,345,359,537,509,579,547,578,433,284
"$50,000 to $59,999",,,975,1006,941,812,748,859,884,944,906,892,702
"$60,000 to $74,999",,,793,980,954,853,833,977,967,1015,1031,973,738
"$75,000 to $99,999",,,403,1133,1278,1389,1437,1389,1261,948,1002,1125,1207
"$100,000 to $124,999",,,130,623,665,659,716,750,696,831,796,860,766
"$125,000 to $149,999",,,48,294,231,276,368,313,434,418,479,560,720
"$150,000 to $199,999",,,7,113,257,220,257,213,213,255,335,381,514
"$200,000 or more",,,,59,71,87,47,69,98,130,163,284,275
Median household income,"$71,735","$73,668","$70,256","$72,986","$53,594","$52,751","$53,290","$54,892","$54,740","$52,983","$52,418","$55,216","$54,341"
,,,,,,,,,,,,,
66. Chicago Lawn,,,,,,,,,,,,,
Total,"18,133","17,600","16,730","17,112","15,416","15,586","15,836","15,705","15,915","16,001","16,291","16,368","16,645"
"Less than $10,000",,,"2,899","2,244","1,979","2,025","2,340","2,283","2,267","2,135","1,787","1,305","1,354"
"$10,000 to $14,999",,,"1,697","1,054","1,047",980,"1,112","1,194","1,234","1,108","1,123","1,074",902
"$15,000 to $19,999",,,"1,795","1,133","1,485","1,570","1,559","1,379","1,325","1,575","1,618","1,568","1,472"
"$20,000 to $24,999",,,"1,765","1,241","1,031","1,027","1,127","1,218","1,369","1,168","1,624","2,066","1,978"
"$25,000 to $29,999",,,"1,320","1,285","1,147","1,214","1,116","1,068","1,066","1,255","1,237","1,143","1,092"
"$30,000 to $34,999",,,1350,1344,1137,1227,1190,1138,963,988,1085,1203,1295
"$35,000 to $39,999",,,1099,1163,982,976,1034,1019,1013,986,956,934,898
"$40,000 to $44,999",,,976,1022,729,886,906,996,1096,1033,1032,919,895
"$45,000 to $49,999",,,796,994,797,772,602,667,729,671,628,746,635
"$50,000 to $59,999",,,"1,324","1,574","1,156","1,222","1,261","1,224","1,068","1,114",998,"1,003","1,123"
"$60,000 to $74,999",,,906,"1,720","1,358","1,140","1,146","1,098","1,231","1,435","1,512","1,549","1,593"
"$75,000 to $99,999",,,568,"1,452","1,518","1,428","1,464","1,272","1,362","1,264","1,285","1,117","1,537"
"$100,000 to $124,999",,,163,479,708,654,492,602,451,525,621,781,721
